date,spf_cpi_forecast
2021-01-31,
2021-02-28,
2021-03-31,2.4962
2021-04-30,2.4962
2021-05-31,2.4962
2021-06-30,3.2
2021-07-31,3.2
2021-08-31,3.2
2021-09-30,5.1999
2021-10-31,5.1999
2021-11-30,5.1999
2021-12-31,4.6
2022-01-31,4.6
2022-02-28,4.6
2022-03-31,5.5
2022-04-30,5.5
2022-05-31,5.5
2022-06-30,7.1
2022-07-31,7.1
2022-08-31,7.1
2022-09-30,6.6812
2022-10-31,6.6812
2022-11-30,6.6812
2022-12-31,5.4
2023-01-31,5.4
2023-02-28,5.4
2023-03-31,3.3263
2023-04-30,3.3263
2023-05-31,3.3263
2023-06-30,3.5
2023-07-31,3.5
2023-08-31,3.5
2023-09-30,3.068
2023-10-31,3.068
2023-11-30,3.068
2023-12-31,3.2641
2024-01-31,3.2641
2024-02-29,3.2641
2024-03-31,2.5094
2024-04-30,2.5094
2024-05-31,2.5094
2024-06-30,3.41
2024-07-31,3.41
2024-08-31,3.41
2024-09-30,2.3329
2024-10-31,2.3329
2024-11-30,2.3329
2024-12-31,2.2384
2025-01-31,2.2384
2025-02-28,2.2384
2025-03-31,3.0042
2025-04-30,3.0042
2025-05-31,3.0042
2025-06-30,3.1
2025-07-31,3.1
2025-08-31,3.1
2025-09-30,3.017
2025-10-31,3.017
2025-11-30,3.017
2025-12-31,3.0887
2026-01-31,3.0887
2026-02-28,3.0887
2026-03-31,2.65
2026-04-30,2.65
